Surface,Volume,Soma_Surface,N_stems,N_bifs,N_branch,Width,Depth,Diameter,PathDistance,Branch_Order,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Fractal_Dim,Bif_ampl_remote,Length,Height,EucDistance,Class
220.867,4.9695,309.806,1,15,31,106.433,5.62,0.09,205.911,5,0.969066,169,0.355556,2,35.9402,1.01225,28.09,781.156,162.908,199.654,Neuron
115.759,2.60459,178.354,1,11,23,44.1388,7.54,0.09,125.579,4,0.950406,96,0.248485,2,43.7887,1.02298,37.7316,409.415,104.241,111.81,Neuron
99.2395,2.23289,248.324,1,7,15,36.7596,4.22,0.09,175.371,5,0.952868,105,0.428571,2,47.6996,1.01189,42.1747,350.988,155.169,160.412,Neuron
220.432,4.95971,373.912,1,11,23,129.691,7.57,0.09,201.879,7,0.946542,217,0.638961,2,51.6502,1.01772,30.221,779.617,169.109,184.045,Neuron
148.837,3.34882,258.456,1,11,23,82.5199,7.31,0.09,189.243,6,0.948253,174,0.419192,2,67.7305,1.01794,50.4516,526.401,140.87,162.747,Neuron
109.042,2.45346,254.159,1,11,23,26.7338,4.46,0.09,101.451,5,0.946958,134,0.430303,2,40.0716,1.02079,26.3516,385.659,88.6809,93.3298,Neuron
182.624,4.10903,232.757,1,12,25,88.1804,6.09,0.09,229.004,5,0.95959,190,0.439394,2,45.5103,1.01102,30.1825,645.899,170.65,197.407,Neuron
56.0308,1.26069,308.616,1,4,9,20.0106,3.82,0.09,116.534,4,0.944871,67,0.75,2,52.0713,1.02389,40.355,198.168,101.64,108.218,Neuron
132.645,2.98452,391.483,1,7,15,43.7865,5.41,0.09,192.037,6,0.963645,154,0.666667,2,36.1997,1.01212,22.395,469.137,159.88,181.634,Neuron
296.878,6.67975,308.952,1,15,31,83.2241,6.61,0.09,216.127,7,0.969097,296,0.517379,2,40.0606,1.01053,29.0497,1049.99,187.343,206.443,Neuron
148.031,3.33069,397.077,1,9,19,68.5554,6.27,0.09,137.391,5,0.958041,171,0.522222,2,47.2945,1.01198,28.6528,523.552,112.087,125.21,Neuron
98.6459,2.21953,309.163,1,7,15,38.0677,4.85,0.09,126.66,6,0.966641,97,0.571429,2,64.3263,1.00862,29.5988,348.888,112.63,121.163,Neuron
122.095,2.74714,354.512,1,8,17,69.5411,4.65,0.09,147.959,4,0.935922,161,0.239286,2,53.899,1.02683,45.7924,431.823,121.257,139.892,Neuron
154.123,3.46778,416.997,1,12,25,55.0085,5.6,0.09,168.68,6,0.964519,160,0.505411,2,45.5112,1.01334,32.6893,545.1,143.941,157.142,Neuron
173.066,3.89399,279.639,1,11,23,55.4129,8.31,0.09,173.578,7,0.972542,194,0.527273,2,44.581,1.01058,33.0185,612.097,148.408,161.943,Neuron
16863.6,8930.14,1401.23,6,96,198,334.91,158.57,0.376201,714.18,19,0.960464,1542,0.621219,1.71874,49.1777,1.01239,44.4266,14534.8,754.74,653.12,Neuron
22442,4883.76,861.738,4,76,156,234.083,164.97,0.725231,837.184,20,0.843513,15543,0.49474,1.61206,89.3213,1.04433,52.716,10289.3,728.979,655.688,Neuron
17822.2,3252.6,814.434,4,92,188,208.264,185.59,0.550925,650.772,27,0.847878,13396,0.606167,1.55731,77.6035,1.0464,52.3042,10994.9,582.69,519.113,Neuron
13857.2,2587.12,713.092,4,56,116,167.25,135.84,0.668046,857.189,28,0.844907,10905,0.646095,1.64144,78.6456,1.04618,61.1982,6837.15,768.29,621.668,Neuron
10624.3,2079.29,526.121,5,51,107,88.5709,159.79,0.672568,520.442,21,0.851833,6344,0.564738,1.71492,83.5877,1.03927,56.6387,5178.43,504.601,398.728,Neuron
19909.8,5183.64,1312.54,6,73,152,248.191,102.37,0.749802,743.601,19,0.824782,10776,0.56789,1.58581,91.9756,1.05112,62.5585,8331.49,678.08,565.099,Neuron
20984.8,4013.61,665.631,5,81,167,232.932,153.03,0.616566,674.553,24,0.838156,15558,0.600495,1.56546,81.6006,1.04641,55.7471,11147.4,629.171,525.418,Neuron
10388.5,1992.13,465.221,7,55,117,267.878,100.39,0.558956,767.703,23,0.851917,9208,0.537085,1.56512,71.6017,1.04528,54.2268,6301.85,612.89,585.717,Neuron
15346.1,3044.49,552.796,6,60,126,185.662,144.54,0.67829,772.443,22,0.841436,10369,0.527599,1.66786,92.7609,1.05108,59.2681,7450.75,661.19,560.248,Neuron
24615.2,6726.8,1444.11,8,61,130,297.192,154.1,0.867377,995.055,21,0.779307,13810,0.571283,1.51604,87.3619,1.07257,60.8983,9485.31,678.08,598.133,Neuron
21072.5,5277.22,1302.28,6,72,150,214.578,125.91,0.820222,555.892,22,0.872343,10536,0.631177,2.19108,87.2477,1.03853,54.826,8553.3,556.08,435.018,Neuron
16490.4,4213.85,1023.08,7,68,143,216.282,106.5,0.761649,664.864,27,0.859829,9608,0.594876,1.48671,82.7292,1.04016,55.1506,7331.84,558.79,499.35,Neuron
15294.3,4289.51,1144.64,4,58,120,191.581,112.74,0.827346,631.397,28,0.863448,9441,0.62726,1.50794,78.9647,1.04688,61.2717,6379.53,575.09,443.654,Neuron
10673.4,2047.64,641.257,6,41,88,152.015,136.18,0.691104,704.105,17,0.83967,8082,0.638793,1.56535,86.8699,1.04639,55.8055,5154.4,681,586.475,Neuron
11830,2557.67,630.708,5,54,113,229.316,100.95,0.703704,636.834,24,0.884135,7910,0.615378,1.63006,76.6833,1.0361,63.0198,5565.16,608.599,468.906,Neuron
16936.2,3583.34,556.301,6,65,136,168.35,121.48,0.778982,527.381,27,0.858806,9143,0.564612,1.65542,85.341,1.04389,63.3946,7137.1,524.68,385.771,Neuron
15661.4,3146.52,630.619,4,58,120,223.053,137.21,0.721838,683.103,21,0.841269,11120,0.634897,1.9742,88.5353,1.04419,55.9343,6952.48,663.879,561.33,Neuron
11345.8,2836.19,761.111,6,32,70,174.961,126.07,0.781628,700.882,10,0.83508,7203,0.648897,1.74129,81.9963,1.04624,65.934,4632.14,626.89,519.318,Neuron
15216.6,5575.27,716.789,5,27,59,216.4,180.68,1.0683,754.2,7,0.85553,5548,0.475309,1.51275,72.5221,1.04127,61.4697,4493.94,645.37,636.02,Neuron
74777.7,30316.9,758.506,4,518,1040,414.712,8.42,1.48039,493.889,38,0.914333,5184,0.667704,1.76227,97.4683,1.04479,93.364,15692.9,619.263,392.555,Neuron
73078.6,27228.8,578.344,3,475,953,502.519,8.88,1.43424,691.321,38,0.909647,6064,0.653533,1.76723,96.2741,1.0404,93.2448,16206.6,586.531,423.293,Neuron
