GABEL,GH,NABEL,NH,e1,e2
4.251414596,41.2,55.78355958,645.7,,
5.305928872,39.67,42.3785344,531.879,,
4.71012714,26.11,43.77045031,503.94,,
1.807105369,46.04,36.90731158,401.89,,
3.191220343,25.31,52.4014801,645.111,,
4.353429492,28.23,47.66145419,497.14,,
3.556045562,40.46,43.47934621,217.06,,
4.905173957,32.36,46.19994456,526.031,,
5.716349722,36.14,40.39077226,536.889,,
3.913281137,46.65,51.84440372,580.57,,
4.666268709,29.66,55.63774323,676.79,,
5.206640968,39.81,49.86221802,220.235,,
4.653339146,43.68,49.29239762,617.94,,
7.12030229,36.5,42.99076543,469.29,,
7.044421253,42.75,41.01897393,544.3,,
4.920198502,29.3,34.75610653,454.39,,
6.265739178,38.68,53.85535038,225.49,,
6.429072296,31.9,43.3773727,515.68,,
7.900096157,37.93,38.34757911,538.389,,
5.094880213,74.57,45.29493055,573.5,,
3.988600198,68.4,43.05669541,445.05,,
3.365698611,60.44,41.9808153,535.181,,
4.037172159,65.41,54.69014086,628.14,,
3.654026277,67.03,51.515999,593.39,,
6.077207689,115.70325,50.83021293,596.69,,
27.09658929,59.61475,51.33488892,500.19,,
28.24665206,38.7725,41.91396964,498.299,,
15.49273191,45.13925,43.36988758,489.4,,
11.1531501,62.1075,48.62166536,506.11,,
18.67897717,53.261,47.29860431,477.81,,
20.7398959,31.71675,53.1375251,498.25,,
16.88701731,57.32675,45.6157937,675.689,,
37.57892512,66.86225,50.72738328,534.75,,
25.89237604,58.96475,55.39491676,568.791,,
5.196951865,35.9,56.98709858,644.84,,
4.831196699,41.19,44.96056299,479.092,,
6.051354166,35.96,36.89519345,516.169,,
6.602190015,36.97,40.08693941,454.331,,
4.485836239,22.01,46.91453151,531.6,,
4.11419078,38.21,46.36757949,461.72,,
5.663306371,27.37,46.25548736,588.179,,
4.620300419,28.93,36.84291837,497.709,,
2.539048155,37.79,48.97110262,433.189,,
4.577313744,19.68,45.6985124,528.65,,
4.590366896,40.13,37.46655752,159.881,,
3.343209659,41.16,46.25983437,181.106,,
3.328269432,24.41,47.32757261,530.45,,
4.145061325,35.66,51.07900067,579.86,,
3.753280918,50.07,49.16526127,540.08,,
3.999567501,55.12,47.60070243,490.69,,
5.216164835,41.66,54.00178518,653.73,,
5.407801711,31.3,47.32136371,256.271,,
4.795001562,37.41,39.1042476,531.01,,
3.681330127,21.9,51.11847245,622.591,,
2.19790985,36.09,43.59939581,507.689,,
5.20180134,36.3,48.42085115,474.89,,
4.160347288,23.65,46.74942908,520.17,,
3.373260593,43.95,36.01885766,476.891,,
3.446070678,18.9,45.55748489,504.87,,
4.056185824,17.49,55.18132953,639.95,,
2.331472894,31.3,51.515999,634.792,,
4.156346929,27.61,52.79978926,617.29,,
3.019723429,47.9,59.40765875,640.591,,
3.746672371,26.96,49.14406091,428.69,,
5.872168153,45.77,48.46162903,639.3,,
3.860426593,54.15,38.64304547,491.87,,
