Surface,Volume,Soma_Surface,N_stems,N_bifs,N_branch,Width,Depth,Diameter,PathDistance,Branch_Order,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Fractal_Dim,Bif_ampl_remote,Length,Height,EucDistance,Class
1312.01,304.591,792.459,8,81,170,27.22,18,0.597,66.5234,10,0.828797,780,0.564248,2.54313,102.975,1.1435,108.17,654.676,42.6,27.0413,Glia
2092.21,457.638,611.929,6,127,260,28.63,17.5,0.594789,101.567,21,0.815546,1324,0.634323,2.27912,100.754,1.15409,103.93,1073.51,65.52,41.0124,Glia
1517.87,289.701,513.371,10,123,256,27.17,14.5,0.518429,107.151,23,0.840611,1094,0.594199,2.23433,104.237,1.14131,103.455,890.526,44.85,29.935,Glia
1471.33,381.991,795.144,11,76,163,33.89,16,0.758817,74.4342,14,0.83682,676,0.629279,2.49716,98.0134,1.14148,100.741,602.32,44.01,28.6779,Glia
1827.06,392.851,766.674,9,98,205,40.04,17,0.582866,88.2281,17,0.833559,1169,0.599386,2.26923,104.25,1.13696,102.158,927.579,59.06,42.9216,Glia
1294.67,312.143,682.967,10,51,112,32.32,16.5,0.670298,78.5543,11,0.815946,739,0.544898,2.64867,96.1217,1.12245,101.77,581.214,44.04,30.1751,Glia
1334.76,380.392,703.854,6,53,112,29.11,16.5,0.783284,73.7417,13,0.845918,606,0.640878,2.17714,102.242,1.12006,100.179,503.697,52.04,30.6681,Glia
1240.83,286.576,746.983,8,63,134,29.3,18.5,0.635279,76.2385,15,0.845079,752,0.612774,1.99309,109.083,1.12617,109.202,587.506,46.86,29.9934,Glia
1507.75,374.129,758.407,12,69,150,34.88,16,0.650752,70.3994,10,0.861957,798,0.516618,2.38059,99.5901,1.11867,99.4833,664.109,57.85,39.2654,Glia
2256.74,665.431,791.144,9,93,195,38.57,15.5,0.836043,107.276,20,0.809618,988,0.607868,2.65064,85.7426,1.15135,87.4161,815.167,39.74,32.0707,Glia
