PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,Class
-1.02565908,-0.592341398,-0.122950657,-0.679018233,-0.614944629,-0.040931356,-0.168300292,-0.086799812,0.494224233,-0.040899945,-0.099114469,Glia
-1.082450515,-0.772633285,-0.86235471,1.167287915,1.707019421,0.306764195,0.199982072,0.63151384,-0.3315214,0.068250711,-0.223317465,Glia
0.893707001,0.921176269,0.048051068,-1.06181401,0.538882011,0.668394719,0.257684481,-0.177659011,-0.04076375,0.053219241,0.05095138,Neuron
-1.150775437,-0.502095752,-0.023929441,0.852142508,-0.422649382,0.422331859,-0.066908553,-0.03187486,-0.017257856,-0.275228661,0.387737216,Glia
0.072261035,0.773983619,-2.037156256,-1.564505022,1.105133505,-1.015529418,0.06044843,-1.050704402,0.52544803,0.690372971,0.118941598,Neuron
-1.379286525,0.348228964,-0.567972157,0.729093879,1.291174569,-0.659051367,-0.010838397,-0.68814925,0.156144312,0.264334281,0.156716601,Glia
-0.724254863,0.080206745,0.307200108,-0.887658778,-1.915819876,0.501513584,0.032956492,0.372956931,0.15891506,-0.497907606,0.141012392,Neuron
-1.034023056,-0.386338851,1.473321863,0.34938421,-0.097812548,1.564077236,0.309966216,0.573848194,0.397510689,-0.56101532,-0.103654071,Glia
-1.470689137,1.196447933,1.442091654,-0.748576264,1.101319401,-0.430623977,0.224184936,-0.170640393,0.918992227,0.334069569,0.405675021,Glia
0.119063974,2.184614135,0.976790545,-1.321837104,0.518071304,-0.686231578,0.128708176,-0.671206546,0.325666612,0.504479944,0.800817336,Neuron
-0.085980134,1.46981719,-0.034748788,2.598944272,0.165071422,-0.407913644,-0.215382786,-1.625370625,-0.426595687,0.760124281,-0.514413547,Neuron
-0.686740967,-2.434627328,-0.224615804,0.698671154,-0.022949837,0.866337201,-0.090307215,0.215665184,0.164771199,0.117996108,0.10253544,Glia
-1.229594638,-0.067957688,0.781036409,-0.204216257,2.391775217,0.369060571,0.443509828,1.221329666,0.510002938,0.321925498,-0.01838433,Glia
-0.861633799,-1.593127215,0.998662794,0.592963456,0.361468174,1.632725705,0.313549593,0.700812298,0.287243628,-0.12772272,0.104863645,Glia
-0.760911241,-0.322407533,0.066012992,0.839244367,0.675185414,1.819616761,0.298180253,0.741673524,-0.232832258,-0.577007874,1.109534159,Neuron
-0.763734071,1.991917701,0.823019555,1.258543849,-0.505340116,-1.831834112,-0.333357842,0.313266405,-1.332005701,0.241220498,-0.172911379,Neuron
-1.305911533,1.770079427,-0.494147957,2.274904537,-1.789086778,-4.101190942,-0.704298133,0.745791598,-3.308137327,0.496533217,-0.433673564,Neuron
